15971,romance
91443,"fantasy, paranormal"
2120,"mystery, thriller, crime"
96058,romance
19341,"fantasy, paranormal"
64919,"history, historical fiction, biography"
149803,"fantasy, paranormal"
1818,"fantasy, paranormal"
25177,romance
2014,"mystery, thriller, crime"
111056,romance
128201,"fantasy, paranormal"
32264,non-fiction
62148,non-fiction
37813,"comics, graphic"
46867,"history, historical fiction, biography"
87557,children
63204,"fantasy, paranormal"
244827,romance
109924,"fantasy, paranormal"
330199,"mystery, thriller, crime"
77691,non-fiction
65320,romance
250746,romance
16728,non-fiction
78582,"history, historical fiction, biography"
25427,"history, historical fiction, biography"
107576,"fantasy, paranormal"
10301,romance
36922,children
10244,romance
226730,"history, historical fiction, biography"
307837,"history, historical fiction, biography"
79093,romance
1682,young-adult
136756,"history, historical fiction, biography"
1339,non-fiction
128472,"fantasy, paranormal"
88950,"fantasy, paranormal"
365660,non-fiction
37327,young-adult
48153,non-fiction
90424,romance
193489,"mystery, thriller, crime"
114714,romance
166457,"fantasy, paranormal"
135237,"fantasy, paranormal"
150397,"history, historical fiction, biography"
75280,"fantasy, paranormal"
168184,romance
77151,non-fiction
31765,"comics, graphic"
360102,"fantasy, paranormal"
1705,young-adult
174493,young-adult
97001,non-fiction
14419,"comics, graphic"
95182,"fantasy, paranormal"
51985,"mystery, thriller, crime"
97939,romance
130399,"fantasy, paranormal"
367045,"mystery, thriller, crime"
25958,young-adult
87857,romance
169724,romance
41535,non-fiction
80331,"mystery, thriller, crime"
57074,young-adult
92268,romance
50769,"fantasy, paranormal"
151870,"history, historical fiction, biography"
57267,young-adult
112070,romance
74344,children
119318,young-adult
133308,young-adult
131990,"mystery, thriller, crime"
5558,"fantasy, paranormal"
57133,"mystery, thriller, crime"
24673,"mystery, thriller, crime"
91454,"history, historical fiction, biography"
94609,"fantasy, paranormal"
8849,"mystery, thriller, crime"
250558,"mystery, thriller, crime"
40271,"fantasy, paranormal"
149507,non-fiction
8513,romance
247602,"history, historical fiction, biography"
59166,"fantasy, paranormal"
8749,romance
59969,non-fiction
162235,"fantasy, paranormal"
111316,romance
49829,romance
26411,"history, historical fiction, biography"
199290,non-fiction
13158,"fantasy, paranormal"
62393,"history, historical fiction, biography"
389792,"mystery, thriller, crime"
34913,"history, historical fiction, biography"
7410,"history, historical fiction, biography"
310235,"history, historical fiction, biography"
48336,"history, historical fiction, biography"
42106,young-adult
36027,"history, historical fiction, biography"
111259,romance
134054,"mystery, thriller, crime"
116826,romance
22631,romance
199064,children
83468,romance
215592,romance
571968,"history, historical fiction, biography"
233624,non-fiction
141835,poetry
84222,"mystery, thriller, crime"
56542,"mystery, thriller, crime"
66834,"mystery, thriller, crime"
173103,"fantasy, paranormal"
21684,young-adult
69767,non-fiction
63527,young-adult
108281,"history, historical fiction, biography"
54980,"mystery, thriller, crime"
140166,"comics, graphic"
212077,young-adult
35259,"fantasy, paranormal"
153909,"mystery, thriller, crime"
224310,romance
97957,romance
142161,"fantasy, paranormal"
124178,romance
274062,"mystery, thriller, crime"
413077,poetry
67792,"mystery, thriller, crime"
77833,"history, historical fiction, biography"
331437,"history, historical fiction, biography"
58924,"fantasy, paranormal"
23726,"mystery, thriller, crime"
7139,non-fiction
150150,non-fiction
244064,"mystery, thriller, crime"
56313,"mystery, thriller, crime"
3019,"fantasy, paranormal"
111234,romance
37874,"comics, graphic"
166555,"fantasy, paranormal"
264051,fiction
59081,"mystery, thriller, crime"
1350,fiction
59448,romance
306302,non-fiction
140790,young-adult
99761,"fantasy, paranormal"
341572,"fantasy, paranormal"
116331,non-fiction
107162,"history, historical fiction, biography"
219411,"mystery, thriller, crime"
66683,"mystery, thriller, crime"
87558,"comics, graphic"
244261,romance
106672,romance
34151,"history, historical fiction, biography"
119237,children
167664,young-adult
30791,"history, historical fiction, biography"
294891,"mystery, thriller, crime"
13918,"comics, graphic"
132658,"history, historical fiction, biography"
86531,"mystery, thriller, crime"
48254,romance
36190,young-adult
1004,"mystery, thriller, crime"
21656,"fantasy, paranormal"
51972,non-fiction
120202,romance
75333,young-adult
49983,non-fiction
27928,"mystery, thriller, crime"
7479,"fantasy, paranormal"
16297,young-adult
63395,"history, historical fiction, biography"
88897,children
24519,children
351368,"fantasy, paranormal"
80003,young-adult
97578,romance
89032,"fantasy, paranormal"
98684,"mystery, thriller, crime"
41566,"mystery, thriller, crime"
51264,children
21711,young-adult
116818,romance
18500,"history, historical fiction, biography"
3917,young-adult
65893,romance
book_id_csv,genres
288869,non-fiction
38167,"mystery, thriller, crime"
173035,"fantasy, paranormal"
146915,"history, historical fiction, biography"
15272,non-fiction
13508,"mystery, thriller, crime"
127868,"comics, graphic"
142248,"history, historical fiction, biography"
420135,"history, historical fiction, biography"
1610,"mystery, thriller, crime"
48599,"fantasy, paranormal"
184875,young-adult
434540,non-fiction
179692,"comics, graphic"
23462,children
6186,"fantasy, paranormal"
98799,romance
26314,"fantasy, paranormal"
12690,romance
12848,romance
67517,young-adult
248432,"fantasy, paranormal"
56716,"fantasy, paranormal"
146009,non-fiction
179398,romance
448468,"history, historical fiction, biography"
38598,romance
5523,"fantasy, paranormal"
28409,"fantasy, paranormal"
25382,children
111474,"fantasy, paranormal"
278213,"fantasy, paranormal"
158759,"history, historical fiction, biography"
39731,romance
70297,non-fiction
34109,non-fiction
215450,children
55301,non-fiction
66664,"mystery, thriller, crime"
48388,non-fiction
97464,"mystery, thriller, crime"
82306,poetry
147601,romance
33212,"history, historical fiction, biography"
100667,"fantasy, paranormal"
60221,"mystery, thriller, crime"
58491,young-adult
23799,"fantasy, paranormal"
311318,"mystery, thriller, crime"
14711,"history, historical fiction, biography"
200242,non-fiction
46286,young-adult
220151,romance
6099,"fantasy, paranormal"
52908,non-fiction
19553,young-adult
2472,"fantasy, paranormal"
17153,young-adult
287073,"fantasy, paranormal"
54832,"mystery, thriller, crime"
292896,"history, historical fiction, biography"
419561,"history, historical fiction, biography"
96896,"comics, graphic"
6651,young-adult
16041,"fantasy, paranormal"
222526,"mystery, thriller, crime"
24574,"history, historical fiction, biography"
152581,"fantasy, paranormal"
38765,young-adult
65249,"fantasy, paranormal"
3909,"fantasy, paranormal"
77276,non-fiction
40459,"fantasy, paranormal"
101939,"fantasy, paranormal"
50557,non-fiction
101036,"comics, graphic"
12505,romance
20293,romance
99319,"mystery, thriller, crime"
100236,"comics, graphic"
1639,young-adult
27659,"history, historical fiction, biography"
52891,"history, historical fiction, biography"
129487,fiction
128369,"history, historical fiction, biography"
141753,"fantasy, paranormal"
94376,"fantasy, paranormal"
366976,non-fiction
13193,"fantasy, paranormal"
151629,"history, historical fiction, biography"
497621,"fantasy, paranormal"
57614,young-adult
146974,"history, historical fiction, biography"
63528,non-fiction
236,"mystery, thriller, crime"
4446,romance
11181,romance
194159,romance
380354,"comics, graphic"
47123,children
23300,"history, historical fiction, biography"
122630,non-fiction
86547,"mystery, thriller, crime"
2273,"fantasy, paranormal"
18085,non-fiction
15847,romance
56708,non-fiction
241448,"history, historical fiction, biography"
132948,"history, historical fiction, biography"
1928,young-adult
23444,romance
19369,"fantasy, paranormal"
219220,young-adult
84948,"fantasy, paranormal"
56349,"fantasy, paranormal"
265788,"fantasy, paranormal"
86831,romance
1347,non-fiction
10665,romance
53533,"mystery, thriller, crime"
176476,"fantasy, paranormal"
304675,poetry
15267,"mystery, thriller, crime"
13156,"history, historical fiction, biography"
126430,"fantasy, paranormal"
62366,non-fiction
66609,"mystery, thriller, crime"
60438,"fantasy, paranormal"
1706,"mystery, thriller, crime"
10290,romance
185117,"comics, graphic"
182047,"fantasy, paranormal"
177632,romance
244553,romance
29795,romance
28240,non-fiction
51714,young-adult
1547,"history, historical fiction, biography"
241141,"history, historical fiction, biography"
419214,romance
1678,romance
51844,"mystery, thriller, crime"
173255,young-adult
14082,"fantasy, paranormal"
9241,romance
107049,"fantasy, paranormal"
33173,non-fiction
31646,"comics, graphic"
58463,"mystery, thriller, crime"
313391,romance
80355,"history, historical fiction, biography"
36407,romance
124705,romance
256146,romance
32044,romance
14114,"fantasy, paranormal"
27794,"mystery, thriller, crime"
94775,"fantasy, paranormal"
67632,"history, historical fiction, biography"
29981,children
57310,romance
46160,romance
35149,non-fiction
194143,romance
32950,"mystery, thriller, crime"
38,"fantasy, paranormal"
47432,non-fiction
76004,children
40332,non-fiction
15705,romance
132755,"history, historical fiction, biography"
14225,"fantasy, paranormal"
47624,"mystery, thriller, crime"
113311,non-fiction
17015,"mystery, thriller, crime"
131226,non-fiction
24319,"history, historical fiction, biography"
285310,"fantasy, paranormal"
83031,"fantasy, paranormal"
900,non-fiction
116742,romance
59308,romance
503876,"fantasy, paranormal"
127959,"history, historical fiction, biography"
75778,"fantasy, paranormal"
13236,"fantasy, paranormal"
108518,"mystery, thriller, crime"
19623,"fantasy, paranormal"
57928,"fantasy, paranormal"
205191,"history, historical fiction, biography"
86867,poetry
49996,"mystery, thriller, crime"
825,"history, historical fiction, biography"
210431,young-adult
79500,non-fiction
12993,non-fiction
251286,poetry
349246,"fantasy, paranormal"
464,"fantasy, paranormal"
62583,non-fiction
44881,romance
14350,"fantasy, paranormal"
20688,romance
73819,non-fiction
548372,"mystery, thriller, crime"
77570,"mystery, thriller, crime"
76355,"fantasy, paranormal"
14061,non-fiction
352865,"fantasy, paranormal"
87730,"comics, graphic"
106771,"mystery, thriller, crime"
45277,romance
60765,"fantasy, paranormal"
114150,romance
102196,"mystery, thriller, crime"
39199,young-adult
106585,"mystery, thriller, crime"
178236,romance
22837,young-adult
153750,non-fiction
149158,"fantasy, paranormal"
299146,"fantasy, paranormal"
94405,"fantasy, paranormal"
13891,non-fiction
75964,non-fiction
94266,"fantasy, paranormal"
289880,young-adult
236554,"history, historical fiction, biography"
35727,young-adult
290198,"fantasy, paranormal"
36013,"history, historical fiction, biography"
386910,"mystery, thriller, crime"
59998,poetry
133360,non-fiction
573,non-fiction
153071,non-fiction
14129,"fantasy, paranormal"
19797,fiction
179050,children
14849,romance
310752,young-adult
19486,"history, historical fiction, biography"
82482,"mystery, thriller, crime"
227134,"fantasy, paranormal"
14092,"fantasy, paranormal"
92423,"comics, graphic"
32666,"history, historical fiction, biography"
127251,non-fiction
74787,romance
78087,non-fiction
19775,romance
199660,non-fiction
151153,"comics, graphic"
317781,"history, historical fiction, biography"
156575,romance
101034,"fantasy, paranormal"
58088,"history, historical fiction, biography"
147535,non-fiction
21331,"comics, graphic"
108925,non-fiction
178019,"fantasy, paranormal"
14641,"history, historical fiction, biography"
3950,"fantasy, paranormal"
39641,"fantasy, paranormal"
91729,fiction
37099,young-adult
4517,"fantasy, paranormal"
12965,"history, historical fiction, biography"
123904,non-fiction
94610,"fantasy, paranormal"
281691,romance
31467,"fantasy, paranormal"
66636,"mystery, thriller, crime"
105733,children
8329,"mystery, thriller, crime"
30559,"fantasy, paranormal"
154086,"mystery, thriller, crime"
132334,non-fiction
111455,"fantasy, paranormal"
11894,romance
41043,non-fiction
6977,"fantasy, paranormal"
251335,"mystery, thriller, crime"
46403,"history, historical fiction, biography"
70362,non-fiction
87665,"comics, graphic"
40167,"fantasy, paranormal"
193811,"history, historical fiction, biography"
21742,"fantasy, paranormal"
157794,"mystery, thriller, crime"
51812,young-adult
19854,"history, historical fiction, biography"
32651,"comics, graphic"
128540,"fantasy, paranormal"
4494,"fantasy, paranormal"
329319,"fantasy, paranormal"
80048,young-adult
17169,"fantasy, paranormal"
222029,"fantasy, paranormal"
18521,romance
34229,"history, historical fiction, biography"
78294,"fantasy, paranormal"
165497,non-fiction
book_id_csv,genres
5540,"fantasy, paranormal"
223682,children
116841,"mystery, thriller, crime"
13500,"history, historical fiction, biography"
74877,non-fiction
615,"fantasy, paranormal"
44988,romance
20545,"fantasy, paranormal"
343865,young-adult
4010,"fantasy, paranormal"
5516,"fantasy, paranormal"
109093,"history, historical fiction, biography"
85383,"comics, graphic"
89768,young-adult
563194,young-adult
318971,"history, historical fiction, biography"
631586,"history, historical fiction, biography"
71334,romance
183800,non-fiction
4156,"fantasy, paranormal"
107511,"fantasy, paranormal"
176468,"fantasy, paranormal"
38260,"mystery, thriller, crime"
278343,non-fiction
16774,non-fiction
28559,poetry
421432,romance
49427,romance
93852,"mystery, thriller, crime"
8385,non-fiction
6178,"fantasy, paranormal"
94905,romance
146328,young-adult
46906,non-fiction
118487,"mystery, thriller, crime"
46056,"fantasy, paranormal"
390217,"history, historical fiction, biography"
23293,"history, historical fiction, biography"
168866,young-adult
6190,young-adult
136491,"mystery, thriller, crime"
1345,non-fiction
20785,"history, historical fiction, biography"
302103,"fantasy, paranormal"
12701,romance
12495,young-adult
4256,"fantasy, paranormal"
346665,romance
39695,romance
239878,children
39174,young-adult
58911,"fantasy, paranormal"
67022,non-fiction
62089,"fantasy, paranormal"
145916,"fantasy, paranormal"
119251,"history, historical fiction, biography"
223942,"mystery, thriller, crime"
104036,poetry
106103,"fantasy, paranormal"
253011,"history, historical fiction, biography"
12169,romance
55959,non-fiction
89759,romance
144417,romance
44706,romance
112934,non-fiction
174984,"comics, graphic"
304859,"comics, graphic"
56170,"history, historical fiction, biography"
24045,"fantasy, paranormal"
17229,"mystery, thriller, crime"
21177,"history, historical fiction, biography"
13106,"fantasy, paranormal"
401892,"mystery, thriller, crime"
57691,young-adult
65908,romance
197077,"history, historical fiction, biography"
210239,"fantasy, paranormal"
360750,"history, historical fiction, biography"
85431,young-adult
181998,"fantasy, paranormal"
57672,"fantasy, paranormal"
23050,romance
27482,"fantasy, paranormal"
67210,romance
19980,"fantasy, paranormal"
1983,young-adult
262648,"fantasy, paranormal"
86658,"fantasy, paranormal"
128496,"mystery, thriller, crime"
36746,"fantasy, paranormal"
17445,"fantasy, paranormal"
215566,romance
39093,"fantasy, paranormal"
274537,romance
40223,romance
99941,"fantasy, paranormal"
64810,"history, historical fiction, biography"
23490,romance
95722,romance
103744,romance
87522,"comics, graphic"
1900,romance
177224,children
25400,romance
118886,"comics, graphic"
143311,"fantasy, paranormal"
195257,romance
502410,"fantasy, paranormal"
117004,children
107538,children
94972,"history, historical fiction, biography"
21189,"comics, graphic"
9373,romance
22884,young-adult
144509,"fantasy, paranormal"
174441,non-fiction
108443,"mystery, thriller, crime"
66726,non-fiction
79333,"fantasy, paranormal"
112144,"comics, graphic"
17068,children
32592,romance
64055,"fantasy, paranormal"
92525,"comics, graphic"
13367,"history, historical fiction, biography"
75079,"history, historical fiction, biography"
134376,romance
140615,young-adult
7320,poetry
8921,romance
69996,young-adult
67116,non-fiction
56739,"history, historical fiction, biography"
59425,"history, historical fiction, biography"
59618,children
89066,"fantasy, paranormal"
18034,non-fiction
98797,"fantasy, paranormal"
60049,"fantasy, paranormal"
135958,romance
25170,"mystery, thriller, crime"
60983,romance
79373,"fantasy, paranormal"
167563,"mystery, thriller, crime"
289786,"history, historical fiction, biography"
68241,romance
84005,non-fiction
25140,non-fiction
21844,"fantasy, paranormal"
39811,"fantasy, paranormal"
7364,"mystery, thriller, crime"
51622,"mystery, thriller, crime"
28578,"fantasy, paranormal"
123290,romance
59305,poetry
39894,"fantasy, paranormal"
21072,"history, historical fiction, biography"
404693,children
24118,"fantasy, paranormal"
36252,non-fiction
13240,young-adult
56840,"history, historical fiction, biography"
264823,"mystery, thriller, crime"
223597,"comics, graphic"
27792,"mystery, thriller, crime"
15429,non-fiction
123261,"fantasy, paranormal"
80049,romance
55182,romance
22385,"fantasy, paranormal"
42583,"history, historical fiction, biography"
146233,fiction
144497,"history, historical fiction, biography"
362510,"fantasy, paranormal"
75979,young-adult
107248,"history, historical fiction, biography"
20789,"history, historical fiction, biography"
54106,"mystery, thriller, crime"
391823,"mystery, thriller, crime"
18429,"fantasy, paranormal"
21661,children
8380,"mystery, thriller, crime"
57676,"history, historical fiction, biography"
45001,romance
305765,"history, historical fiction, biography"
16120,romance
41,"fantasy, paranormal"
7856,non-fiction
47568,"mystery, thriller, crime"
145215,poetry
25647,"mystery, thriller, crime"
61661,"fantasy, paranormal"
20846,young-adult
205197,poetry
165260,"mystery, thriller, crime"
77382,"history, historical fiction, biography"
60656,children
82977,"history, historical fiction, biography"
82874,"fantasy, paranormal"
256127,"mystery, thriller, crime"
55064,"history, historical fiction, biography"
118545,romance
66422,non-fiction
282830,children
47296,"history, historical fiction, biography"
219165,"fantasy, paranormal"
25938,"history, historical fiction, biography"
26940,"fantasy, paranormal"
282867,"mystery, thriller, crime"
130882,children
23168,"fantasy, paranormal"
143140,"comics, graphic"
28927,"history, historical fiction, biography"
19939,non-fiction
87554,"comics, graphic"
393856,children
96740,children
6274,"fantasy, paranormal"
6919,young-adult
1481,children
434383,"history, historical fiction, biography"
242129,"mystery, thriller, crime"
42458,non-fiction
93984,non-fiction
47427,"history, historical fiction, biography"
164070,"history, historical fiction, biography"
8043,non-fiction
382011,"mystery, thriller, crime"
129561,"fantasy, paranormal"
77664,"history, historical fiction, biography"
68934,"mystery, thriller, crime"
87969,"fantasy, paranormal"
46044,"comics, graphic"
47311,"history, historical fiction, biography"
209036,"history, historical fiction, biography"
23636,romance
75808,children
81717,"fantasy, paranormal"
21614,young-adult
40743,"history, historical fiction, biography"
55273,"fantasy, paranormal"
66715,"mystery, thriller, crime"
22175,"fantasy, paranormal"
19891,children
414874,"fantasy, paranormal"
75413,"fantasy, paranormal"
37214,"history, historical fiction, biography"
49642,romance
75853,children
269769,"history, historical fiction, biography"
88929,"fantasy, paranormal"
210795,"history, historical fiction, biography"
61901,young-adult
180776,"history, historical fiction, biography"
77111,"mystery, thriller, crime"
57961,"comics, graphic"
18076,non-fiction
94949,children
210784,children
134682,young-adult
56205,"history, historical fiction, biography"
12602,romance
60675,children
125710,young-adult
7515,"fantasy, paranormal"
32649,poetry
162982,"fantasy, paranormal"
13824,"fantasy, paranormal"
41429,"history, historical fiction, biography"
book_id_csv,genres
100381,"history, historical fiction, biography"
56324,"mystery, thriller, crime"
6596,"fantasy, paranormal"
5517,"fantasy, paranormal"
6717,young-adult
18467,romance
157757,"fantasy, paranormal"
6996,young-adult
3415,"fantasy, paranormal"
178132,"comics, graphic"
3156,"fantasy, paranormal"
250576,"mystery, thriller, crime"
35992,"mystery, thriller, crime"
23348,poetry
791,"fantasy, paranormal"
63750,"comics, graphic"
56605,young-adult
77361,children
100887,romance
7421,romance
50186,romance
68860,"history, historical fiction, biography"
269793,"history, historical fiction, biography"
181175,non-fiction
23619,romance
310804,"fantasy, paranormal"
102905,"history, historical fiction, biography"
24181,"mystery, thriller, crime"
21651,young-adult
86414,"fantasy, paranormal"
105177,non-fiction
205220,"mystery, thriller, crime"
261787,"mystery, thriller, crime"
65448,"history, historical fiction, biography"
4433,"fantasy, paranormal"
75873,young-adult
65953,romance
2897,"fantasy, paranormal"
15368,"history, historical fiction, biography"
296523,"history, historical fiction, biography"
6323,"fantasy, paranormal"
207560,romance
16009,romance
181649,romance
1321,non-fiction
85708,non-fiction
34002,non-fiction
154105,non-fiction
66823,"mystery, thriller, crime"
63757,"fantasy, paranormal"
7403,poetry
59447,romance
82360,romance
56815,"fantasy, paranormal"
126122,non-fiction
14226,"fantasy, paranormal"
15081,"fantasy, paranormal"
128375,romance
3922,"mystery, thriller, crime"
12608,romance
95103,"fantasy, paranormal"
59902,non-fiction
6208,young-adult
607646,children
50822,"history, historical fiction, biography"
5185,young-adult
215681,young-adult
243788,romance
25527,non-fiction
400413,"fantasy, paranormal"
14721,non-fiction
83207,non-fiction
126853,"fantasy, paranormal"
273915,non-fiction
84280,"fantasy, paranormal"
19517,"fantasy, paranormal"
149960,young-adult
35995,"fantasy, paranormal"
139239,romance
3051,romance
221508,"mystery, thriller, crime"
12177,romance
271198,"fantasy, paranormal"
17187,"mystery, thriller, crime"
437882,romance
543012,romance
586408,non-fiction
2117,"mystery, thriller, crime"
156893,romance
395428,young-adult
23782,romance
111267,romance
21482,young-adult
37963,romance
11691,"mystery, thriller, crime"
86829,romance
62138,romance
10619,romance
24258,fiction
9927,romance
110824,romance
174401,children
9828,romance
26262,young-adult
104655,romance
143878,"fantasy, paranormal"
11116,romance
38232,"history, historical fiction, biography"
191131,"comics, graphic"
97268,"history, historical fiction, biography"
707,"history, historical fiction, biography"
73713,children
87793,"comics, graphic"
82958,romance
219968,"fantasy, paranormal"
95634,romance
33369,non-fiction
8383,non-fiction
10937,romance
665,"fantasy, paranormal"
48040,"mystery, thriller, crime"
115508,young-adult
144721,"fantasy, paranormal"
141075,young-adult
50205,"mystery, thriller, crime"
95506,romance
220218,"fantasy, paranormal"
10376,romance
48010,non-fiction
119020,"fantasy, paranormal"
62550,"history, historical fiction, biography"
250262,children
12770,romance
88401,fiction
39316,"fantasy, paranormal"
17526,"mystery, thriller, crime"
99575,romance
108442,non-fiction
389692,"mystery, thriller, crime"
300874,"history, historical fiction, biography"
46878,non-fiction
9718,romance
139942,"fantasy, paranormal"
56476,"comics, graphic"
99755,"fantasy, paranormal"
51038,non-fiction
71740,romance
193975,romance
394953,"mystery, thriller, crime"
77468,"fantasy, paranormal"
156379,romance
24245,non-fiction
58700,"fantasy, paranormal"
44960,romance
8756,"mystery, thriller, crime"
14524,"history, historical fiction, biography"
17244,"mystery, thriller, crime"
26637,romance
297280,young-adult
40202,"fantasy, paranormal"
21512,"comics, graphic"
7209,romance
184684,young-adult
170452,non-fiction
66038,romance
139506,"comics, graphic"
9073,romance
37081,"fantasy, paranormal"
42683,romance
89158,"fantasy, paranormal"
124,"fantasy, paranormal"
29276,"history, historical fiction, biography"
51249,"mystery, thriller, crime"
59670,non-fiction
17924,romance
14083,"fantasy, paranormal"
53216,"fantasy, paranormal"
61507,non-fiction
57828,"fantasy, paranormal"
320199,non-fiction
225659,"fantasy, paranormal"
23977,"mystery, thriller, crime"
41076,non-fiction
36536,young-adult
18957,non-fiction
64283,romance
250107,young-adult
57021,"fantasy, paranormal"
324007,romance
91193,"fantasy, paranormal"
98426,romance
13357,"mystery, thriller, crime"
185877,"fantasy, paranormal"
62111,"fantasy, paranormal"
261566,"fantasy, paranormal"
77566,romance
406875,non-fiction
94115,"fantasy, paranormal"
20732,"fantasy, paranormal"
42831,"mystery, thriller, crime"
215971,"fantasy, paranormal"
645441,"fantasy, paranormal"
20826,romance
242210,"history, historical fiction, biography"
244652,"fantasy, paranormal"
241705,"mystery, thriller, crime"
18187,non-fiction
182702,"history, historical fiction, biography"
23959,romance
6957,"mystery, thriller, crime"
107265,non-fiction
150179,"history, historical fiction, biography"
104341,"history, historical fiction, biography"
349303,non-fiction
118211,children
87824,"comics, graphic"
248150,"fantasy, paranormal"
149703,non-fiction
13874,"fantasy, paranormal"
7170,"fantasy, paranormal"
117283,children
144968,non-fiction
40998,"history, historical fiction, biography"
87937,"history, historical fiction, biography"
14665,"history, historical fiction, biography"
40179,young-adult
28922,"mystery, thriller, crime"
102318,"history, historical fiction, biography"
21046,"mystery, thriller, crime"
142337,romance
97903,romance
93958,non-fiction
131085,"comics, graphic"
21899,"history, historical fiction, biography"
224888,romance
6698,"fantasy, paranormal"
49322,"fantasy, paranormal"
32477,romance
83906,"comics, graphic"
21397,"fantasy, paranormal"
274844,romance
180713,non-fiction
180622,young-adult
67835,"comics, graphic"
73846,"fantasy, paranormal"
86728,young-adult
164085,"mystery, thriller, crime"
264082,non-fiction
82523,"mystery, thriller, crime"
84859,"history, historical fiction, biography"
19291,"fantasy, paranormal"
38352,"fantasy, paranormal"
1256,"mystery, thriller, crime"
21277,"fantasy, paranormal"
14761,"history, historical fiction, biography"
515577,"fantasy, paranormal"
300598,"fantasy, paranormal"
105581,children
36124,fiction
29230,"mystery, thriller, crime"
126198,"fantasy, paranormal"
6130,"fantasy, paranormal"
83414,non-fiction
78115,non-fiction
99046,"fantasy, paranormal"
472227,"mystery, thriller, crime"
19626,fiction
267448,"fantasy, paranormal"
12836,"mystery, thriller, crime"
169391,"history, historical fiction, biography"
158647,romance
446104,"history, historical fiction, biography"
263928,romance
39374,"fantasy, paranormal"
132009,"mystery, thriller, crime"
49057,romance
115559,non-fiction
54430,"mystery, thriller, crime"
115705,children
6479,"fantasy, paranormal"
210588,"fantasy, paranormal"
64878,"history, historical fiction, biography"
25801,"history, historical fiction, biography"
353147,children
17498,"fantasy, paranormal"
66138,romance
97009,non-fiction
119935,non-fiction
139823,"fantasy, paranormal"
102431,non-fiction
22454,young-adult
222030,"fantasy, paranormal"
24942,"history, historical fiction, biography"
61153,"mystery, thriller, crime"
123691,romance
book_id_csv,genres
149738,"history, historical fiction, biography"
119776,"history, historical fiction, biography"
126930,"comics, graphic"
5041,"fantasy, paranormal"
24466,fiction
3116,"fantasy, paranormal"
20969,romance
42172,"fantasy, paranormal"
94861,non-fiction
131281,"comics, graphic"
174364,young-adult
20685,"fantasy, paranormal"
463029,poetry
7730,non-fiction
63591,"fantasy, paranormal"
443520,romance
83274,young-adult
68502,non-fiction
3450,"fantasy, paranormal"
50145,non-fiction
46639,"history, historical fiction, biography"
351182,romance
142822,children
261194,children
6187,"fantasy, paranormal"
415612,"history, historical fiction, biography"
29004,"comics, graphic"
209122,romance
36202,young-adult
116440,"comics, graphic"
25962,"comics, graphic"
207624,"mystery, thriller, crime"
19367,"fantasy, paranormal"
12048,romance
574215,romance
173494,non-fiction
70288,"history, historical fiction, biography"
46933,non-fiction
34862,children
587004,children
240730,romance
61539,"fantasy, paranormal"
20890,young-adult
6447,romance
52459,"fantasy, paranormal"
4405,"fantasy, paranormal"
58484,"mystery, thriller, crime"
3840,young-adult
149528,"fantasy, paranormal"
22849,young-adult
85161,romance
51762,"history, historical fiction, biography"
292510,"history, historical fiction, biography"
123620,"fantasy, paranormal"
56835,romance
5393,young-adult
3776,"fantasy, paranormal"
220922,"fantasy, paranormal"
119535,romance
84247,non-fiction
167108,children
61594,children
68077,non-fiction
20594,"history, historical fiction, biography"
